timestamp,rank,name,symbol,price,change_1h,change_24h,change_7d,market_cap,volume_24h
2026-09-06T10:32:05+00:00,1,Bitcoin,BTC,57017.514555,-1.4,2.41,-12.46,1170839638900.78,60771361967.26
2026-09-06T10:32:05+00:00,2,Ethereum,ETH,4181.174201,0.03,-7.4,0.18,511560907971.29,18288474893.13
2026-09-06T10:32:05+00:00,3,Tether,USDT,0.995471,1.31,-6.02,-7.19,120305839733.77,10423504385.69
2026-09-06T10:32:05+00:00,4,BNB,BNB,615.172793,-0.41,7.62,-13.37,90846677100.12,4273365457.63
2026-09-06T10:32:05+00:00,5,Solana,SOL,175.101007,-1.53,-3.06,13.56,83861066129.31,5477223228.79
2026-09-06T10:32:05+00:00,6,XRP,XRP,1.431835,-0.51,0.76,-12.8,80286553895.35,3430959344.3
2026-09-06T10:32:05+00:00,7,Dogecoin,DOGE,0.127364,-0.29,-2.97,5.49,18282865481.75,878144162.56
2026-09-06T10:32:05+00:00,8,Cardano,ADA,0.62281,0.8,-4.09,5.1,21510834496.64,1773927369.29
2026-09-06T10:32:05+00:00,9,Avalanche,AVAX,125.940239,-0.85,7.68,-10.87,18968886672.28,1433140659.7
2026-09-06T10:32:05+00:00,10,Chainlink,LINK,25.57459,-0.04,-7.37,8.39,16285720960.65,1042981213.95
2026-09-06T10:32:05+00:00,11,Polkadot,DOT,8.967576,-0.75,3.12,5.8,11418216106.58,654044446.61
2026-09-06T10:32:05+00:00,12,Polygon,MATIC,0.99999,1.78,-0.41,8.25,9020041835.82,656014643.63
2026-09-06T10:32:05+00:00,13,Litecoin,LTC,113.392237,1.97,5.15,-5.04,8380812962.33,589000968.81
2026-09-06T10:32:05+00:00,14,TRON,TRX,0.175815,-0.15,-5.31,-10.9,15957983323.02,1225113066.86
2026-09-06T10:32:05+00:00,15,Toncoin,TON,6.687881,-1.01,-1.74,15.5,17154881130.22,985256522.19
2026-09-06T11:32:05+00:00,1,Bitcoin,BTC,57797.573321,1.53,5.11,15.24,1164815052909.63,64253815508.26
2026-09-06T11:32:05+00:00,2,Ethereum,ETH,4258.684651,1.54,7.32,-9.72,512658566958.02,22661384596.73
2026-09-06T11:32:05+00:00,3,Tether,USDT,0.984,-0.06,1.43,-5.8,118809824648.12,6616414808.1
2026-09-06T11:32:05+00:00,4,BNB,BNB,607.536324,0.27,7.25,9.17,90227946545.26,6048411959.8
2026-09-06T11:32:05+00:00,5,Solana,SOL,180.811543,-1.78,6.39,12.3,85032178254.82,6572429485.74
2026-09-06T11:32:05+00:00,6,XRP,XRP,1.410831,-0.4,-6.34,7.2,80290841471.02,2757309413.0
2026-09-06T11:32:05+00:00,7,Dogecoin,DOGE,0.123798,-1.35,-2.56,-13.16,18117085381.18,715088895.64
2026-09-06T11:32:05+00:00,8,Cardano,ADA,0.597366,-0.55,-7.59,15.6,21549049664.75,836630126.08
2026-09-06T11:32:05+00:00,9,Avalanche,AVAX,122.383379,-0.61,-2.17,-10.7,19132596032.06,1702137102.74
2026-09-06T11:32:05+00:00,10,Chainlink,LINK,26.066699,-0.06,-6.63,-11.42,16149014011.59,743343698.75
2026-09-06T11:32:05+00:00,11,Polkadot,DOT,8.943044,-1.35,-7.63,18.28,11406442686.07,442276136.61
2026-09-06T11:32:05+00:00,12,Polygon,MATIC,0.982539,-1.89,0.45,19.25,9166125155.51,653123445.11
2026-09-06T11:32:05+00:00,13,Litecoin,LTC,110.788961,-0.53,-5.33,12.02,8405475522.78,644643665.23
2026-09-06T11:32:05+00:00,14,TRON,TRX,0.17915,-1.11,4.98,19.47,16213546473.2,1261671912.9
2026-09-06T11:32:05+00:00,15,Toncoin,TON,6.970644,0.96,-4.37,3.12,17250024640.0,549081396.47
2026-09-06T12:32:05+00:00,1,Bitcoin,BTC,55994.426271,-0.88,-3.85,9.24,1180682452786.39,66495382979.22
2026-09-06T12:32:05+00:00,2,Ethereum,ETH,4407.702461,1.95,7.28,-2.24,513115171173.32,22503146795.58
2026-09-06T12:32:05+00:00,3,Tether,USDT,0.981802,-1.18,1.99,16.51,120817045265.47,7052208669.08
2026-09-06T12:32:05+00:00,4,BNB,BNB,617.960474,1.2,-6.64,8.12,90939237956.14,6939823208.74
